cr_publisher,country_code,publication_year,journal_business_model,n_articles,n_oa_articles,n_ta_articles
Elsevier BV,DK,2025,Hybrid,1660,1162,987
Elsevier BV,KR,2025,Full OA,2134,1797,12
Elsevier BV,ZA,2025,Full OA,581,499,10
Elsevier BV,MA,2025,Hybrid,2066,156,23
Elsevier BV,SG,2025,Full OA,406,340,4
Elsevier BV,AZ,2025,Full OA,42,29,3
Elsevier BV,CI,2025,Hybrid,58,16,4
Elsevier BV,KW,2025,Hybrid,132,21,0
Elsevier BV,MW,2025,Full OA,30,24,1
Elsevier BV,YE,2025,Full OA,21,20,0
Elsevier BV,ZW,2025,Full OA,19,17,0
Elsevier BV,GA,2025,Full OA,9,9,3
Elsevier BV,SV,2025,Hybrid,6,1,0
Elsevier BV,FK,2025,Hybrid,3,0,0
Elsevier BV,BW,2025,Hybrid,59,5,1
Elsevier BV,TT,2025,Full OA,9,8,0
Elsevier BV,GU,2025,Full OA,1,1,0
Elsevier BV,CF,2025,Full OA,1,1,0
Elsevier BV,KG,2025,Hybrid,21,5,0
Elsevier BV,TJ,2025,Hybrid,41,2,0
Elsevier BV,CH,2025,Hybrid,2177,1322,1175
Elsevier BV,JP,2025,Full OA,3226,2886,14
Elsevier BV,DO,2025,Hybrid,29,18,2
Elsevier BV,PS,2025,Full OA,77,67,3
Elsevier BV,PH,2025,Hybrid,334,33,9
Elsevier BV,BY,2025,Hybrid,94,13,2
Elsevier BV,TR,2025,Hybrid,6360,443,40
Elsevier BV,CR,2025,Hybrid,67,6,3
Elsevier BV,MM,2025,Full OA,14,11,0
Elsevier BV,SN,2025,Full OA,24,22,5
Elsevier BV,GT,2025,Hybrid,16,3,0
Elsevier BV,MT,2025,Full OA,9,6,0
Elsevier BV,CV,2025,Hybrid,1,1,0
Elsevier BV,LS,2025,Hybrid,2,1,0
Elsevier BV,FJ,2025,Hybrid,26,3,0
Elsevier BV,LB,2025,Hybrid,219,34,5
Elsevier BV,PT,2025,Hybrid,2007,1018,322
Elsevier BV,PT,2025,Full OA,520,407,15
Elsevier BV,BE,2025,Full OA,539,467,24
Elsevier BV,AR,2025,Full OA,191,143,3
Elsevier BV,BD,2025,Hybrid,1233,150,30
Elsevier BV,KG,2025,Full OA,11,11,0
Elsevier BV,LK,2025,Full OA,81,54,1
Elsevier BV,AO,2025,Full OA,1,1,0
Elsevier BV,MW,2025,Hybrid,33,9,3
Elsevier BV,LT,2025,Hybrid,249,31,0
Elsevier BV,SY,2025,Full OA,46,44,1
Elsevier BV,RW,2025,Hybrid,163,7,0
Elsevier BV,PH,2025,Full OA,119,96,5
Elsevier BV,BR,2025,Hybrid,8431,557,44
Elsevier BV,ZM,2025,Hybrid,41,13,1
Elsevier BV,NA,2024,Hybrid,173567,33901,0
Elsevier BV,NZ,2024,Hybrid,1090,653,607
Elsevier BV,IQ,2024,Hybrid,673,86,20
Elsevier BV,BD,2024,Hybrid,1046,147,49
Elsevier BV,PL,2024,Hybrid,3720,1212,824
Elsevier BV,DK,2024,Hybrid,2371,1689,1535
Elsevier BV,IN,2024,Hybrid,24357,1221,88
Elsevier BV,CA,2024,Hybrid,8866,3915,3607
Elsevier BV,SE,2024,Full OA,894,819,747
Elsevier BV,AU,2024,Full OA,2025,1742,70
Elsevier BV,BE,2024,Full OA,620,568,37
Elsevier BV,CN,2024,Full OA,38178,30839,123
Elsevier BV,CO,2024,Full OA,477,442,10
Elsevier BV,PT,2024,Full OA,652,542,36
Elsevier BV,BR,2024,Full OA,2393,1611,23
Elsevier BV,AZ,2024,Full OA,39,28,0
Elsevier BV,IR,2024,Full OA,3230,2886,26
Elsevier BV,OM,2024,Hybrid,179,9,3
Elsevier BV,LK,2024,Full OA,96,70,0
Elsevier BV,HK,2024,Hybrid,2896,278,21
Elsevier BV,TR,2024,Hybrid,6371,364,60
Elsevier BV,HU,2024,Hybrid,893,502,462
Elsevier BV,GR,2024,Full OA,360,264,10
Elsevier BV,GA,2024,Full OA,9,8,3
Elsevier BV,NA,2024,Full OA,14,12,1
Elsevier BV,IE,2024,Full OA,438,405,352
Elsevier BV,UZ,2024,Hybrid,110,4,1
Elsevier BV,RW,2024,Hybrid,75,10,3
Elsevier BV,UY,2024,Hybrid,171,16,6
Elsevier BV,AZ,2024,Hybrid,141,11,3
Elsevier BV,CY,2024,Hybrid,239,31,6
Elsevier BV,BG,2024,Hybrid,232,70,5
Elsevier BV,ET,2024,Hybrid,360,64,35
Elsevier BV,ZW,2024,Full OA,35,33,0
Elsevier BV,JO,2024,Full OA,331,294,2
Elsevier BV,NO,2024,Full OA,463,423,13
Elsevier BV,GT,2024,Hybrid,15,2,0
Elsevier BV,KE,2024,Hybrid,125,45,18
Elsevier BV,SY,2024,Full OA,58,50,0
Elsevier BV,EC,2024,Hybrid,209,38,18
Elsevier BV,PE,2024,Full OA,196,184,1
Elsevier BV,MK,2024,Hybrid,42,12,6
Elsevier BV,LU,2024,Hybrid,162,71,9
Elsevier BV,GR,2024,Hybrid,1481,156,16
Elsevier BV,BA,2024,Hybrid,67,9,2
Elsevier BV,CM,2024,Hybrid,263,24,12
Elsevier BV,MT,2024,Hybrid,58,22,1
Elsevier BV,GN,2024,Hybrid,10,2,0
Elsevier BV,SI,2024,Full OA,129,120,6
Elsevier BV,UG,2024,Hybrid,87,16,3
Elsevier BV,SD,2024,Hybrid,73,15,6
Elsevier BV,LA,2024,Hybrid,11,1,1
Elsevier BV,AM,2024,Full OA,33,19,0
Elsevier BV,SN,2024,Full OA,34,31,7
Elsevier BV,SS,2024,Hybrid,5,3,3
Elsevier BV,ML,2024,Full OA,8,7,0
Elsevier BV,CW,2024,Hybrid,5,1,1
Elsevier BV,RS,2024,Full OA,98,82,1
Elsevier BV,ME,2024,Full OA,9,7,0
Elsevier BV,VE,2024,Hybrid,49,5,0
Elsevier BV,VI,2024,Hybrid,3,1,0
Elsevier BV,MA,2024,Full OA,710,610,11
Elsevier BV,DZ,2024,Hybrid,1072,84,15
Elsevier BV,PL,2024,Full OA,601,499,25
Elsevier BV,BN,2024,Full OA,21,17,0
Elsevier BV,BA,2024,Full OA,20,19,0
Elsevier BV,IS,2024,Full OA,21,13,1
Elsevier BV,MD,2024,Full OA,13,12,0
Elsevier BV,LV,2024,Full OA,36,35,0
Elsevier BV,AE,2024,Full OA,444,393,5
Elsevier BV,CV,2024,Hybrid,2,1,1
Elsevier BV,CU,2024,Full OA,25,21,1
Elsevier BV,TJ,2024,Full OA,2,2,0
Elsevier BV,VN,2024,Full OA,501,454,5
Elsevier BV,MO,2024,Hybrid,523,40,0
Elsevier BV,NE,2024,Full OA,5,5,0
Elsevier BV,KN,2024,Hybrid,27,3,2
Elsevier BV,TD,2024,Full OA,2,2,0
Elsevier BV,GW,2024,Hybrid,5,2,2
Elsevier BV,BN,2024,Hybrid,43,6,0
Elsevier BV,BO,2024,Hybrid,23,4,3
Elsevier BV,TT,2024,Full OA,17,15,0
Elsevier BV,PR,2024,Hybrid,96,11,4
Elsevier BV,HT,2024,Hybrid,1,1,0
Elsevier BV,HN,2024,Full OA,7,7,2
Elsevier BV,SV,2024,Hybrid,4,2,1
Elsevier BV,JM,2024,Hybrid,15,3,1
Elsevier BV,BH,2024,Hybrid,35,6,3
Elsevier BV,MZ,2024,Full OA,19,17,5
Elsevier BV,RE,2024,Full OA,5,5,4
Elsevier BV,AG,2024,Full OA,27,26,0
Elsevier BV,NE,2024,Hybrid,10,3,1
Elsevier BV,TT,2024,Hybrid,16,3,0
Elsevier BV,PF,2024,Full OA,2,2,0
Elsevier BV,NI,2024,Full OA,5,5,0
Elsevier BV,PF,2024,Hybrid,11,3,3
Elsevier BV,AO,2024,Full OA,4,3,0
Elsevier BV,AW,2024,Full OA,1,1,0
Elsevier BV,NP,2024,Full OA,230,203,2
Elsevier BV,MU,2024,Full OA,10,9,0
Elsevier BV,WS,2024,Full OA,1,1,0
Elsevier BV,SO,2024,Full OA,26,25,0
Elsevier BV,CF,2024,Full OA,2,2,0
Elsevier BV,GT,2024,Full OA,10,10,0
Elsevier BV,VE,2024,Full OA,3,3,0
Elsevier BV,PT,2024,Hybrid,2887,1660,1412
Elsevier BV,DE,2024,Hybrid,10207,6853,6317
Elsevier BV,NL,2024,Hybrid,5169,3773,3545
Elsevier BV,ES,2024,Hybrid,11523,5686,5224
Elsevier BV,FR,2024,Hybrid,14307,4451,3592
Elsevier BV,SE,2024,Hybrid,2845,2178,2076
Elsevier BV,TW,2024,Full OA,1451,1244,6
Elsevier BV,IN,2024,Full OA,6726,4938,13
Elsevier BV,ES,2024,Full OA,2996,2552,349
Elsevier BV,MX,2024,Hybrid,2378,355,29
Elsevier BV,HK,2024,Full OA,515,412,4
Elsevier BV,NL,2024,Full OA,1662,1524,1317
Elsevier BV,MY,2024,Full OA,1152,963,4
Elsevier BV,TR,2024,Full OA,1466,1186,13
Elsevier BV,UY,2024,Full OA,42,28,4
Elsevier BV,TH,2024,Full OA,1227,1126,6
Elsevier BV,DK,2024,Full OA,652,596,74
Elsevier BV,TZ,2024,Hybrid,151,24,8
Elsevier BV,IQ,2024,Full OA,535,445,15
Elsevier BV,ET,2024,Full OA,1037,1003,21
Elsevier BV,IR,2024,Hybrid,8395,550,67
Elsevier BV,JO,2024,Hybrid,491,51,10
Elsevier BV,BR,2024,Hybrid,9572,717,115
Elsevier BV,CI,2024,Hybrid,57,12,5
Elsevier BV,UA,2024,Hybrid,526,54,17
Elsevier BV,SZ,2024,Full OA,2,1,0
Elsevier BV,MQ,2024,Hybrid,14,1,1
Elsevier BV,CO,2024,Hybrid,1126,268,231
Elsevier BV,JP,2024,Full OA,3459,3030,12
Elsevier BV,BW,2024,Hybrid,51,4,4
Elsevier BV,LR,2024,Full OA,6,6,0
Elsevier BV,HR,2024,Hybrid,346,34,7
Elsevier BV,ZM,2024,Hybrid,39,7,2
Elsevier BV,SK,2024,Hybrid,452,113,105
